Rank,Name,Instagram Followers
1,LeBron James,"136,690,381"
2,Stephen Curry,"47,149,952"
3,Russell Westbrook,"20,912,760"
4,Kyrie Irving,"17,756,634"
5,Lonzo Ball,"15,246,061"
6,Klay Thompson,"13,862,428"
7,Giannis Antetokounmpo,"13,755,528"
8,Chris Paul,"11,556,974"
9,Paul George,"9,779,949"
10,Damian Lillard,"9,636,252"
11,LaMelo Ball,"9,377,490"
12,Ja Morant,"8,020,152"
13,Carmelo Anthony,"7,910,012"
14,Jimmy Butler,"7,640,078"
15,Luka Doncic,"7,433,065"
16,Anthony Davis,"7,154,500"
17,Markelle Fultz,"6,904,555"
18,Ben Simmons,"6,702,884"
19,Joel Embiid,"6,133,258"
20,Devin Booker,"5,476,837"
21,Jayson Tatum,"5,316,681"
22,Zion Williamson,"5,269,519"
23,Kyle Kuzma,"4,929,573"
24,Trae Young,"4,864,550"
25,John Wall,"4,562,836"
26,Draymond Green,"4,053,896"
27,Karl-Anthony Towns,"3,944,422"
28,Tristan Thompson,"3,775,442"
29,D'Angelo Russell,"3,636,619"
30,Donovan Mitchell,"3,622,241"
31,Kevin Love,"3,356,463"
32,DeMar DeRozan,"3,287,473"
33,Dwight Howard,"3,115,041"
34,Zach LaVine,"2,537,449"
35,Jalen Green,"2,343,689"
36,Tyler Herro,"2,318,452"
37,Brandon Ingram,"2,220,533"
38,Andrew Wiggins,"2,189,437"
39,Dennis Schroder,"2,158,912"
40,Seth Curry,"2,127,755"
41,DeAndre Jordan,"1,906,218"
42,Jordan Clarkson,"1,828,829"
43,Andre Iguodala,"1,793,187"
44,Kelly Oubre Jr.,"1,745,718"
45,Jordan Poole,"1,728,010"
46,JaVale McGee,"1,703,485"
47,Alex Caruso,"1,626,274"
48,Kristaps Porzingis,"1,523,814"
49,Kyle Lowry,"1,515,093"
50,Cedi Osman,"1,490,477"
51,Victor Oladipo,"1,463,987"
52,Bradley Beal,"1,390,853"
53,C.J. McCollum,"1,371,477"
54,Andre Drummond,"1,348,371"
55,Kemba Walker,"1,329,756"
56,Thanasis Antetokounmpo,"1,305,262"
57,Rajon Rondo,"1,293,764"
58,De'Aaron Fox,"1,278,518"
59,Anthony Edwards,"1,259,456"
60,Danny Green,"1,236,469"
61,Serge Ibaka,"1,206,557"
62,Gordon Hayward,"1,202,125"
63,Shai Gilgeous-Alexander,"1,187,329"
64,R.J. Barrett,"1,186,566"
65,Lou Williams,"1,177,921"
66,Dejounte Murray,"1,131,589"
67,Aaron Gordon,"1,122,647"
68,Marvin Bagley III,"1,018,596"
69,Alize Johnson,"1,009,059"
70,Harrison Barnes,"991,743"
71,Jamal Murray,"991,690"
72,Boban Marjanovic,"960,141"
73,Bol Bol,"959,676"
74,Julius Randle,"903,696"
75,Sharife Cooper,"877,161"
76,Bam Adebayo,"843,352"
77,Josh Christopher,"839,766"
78,Mac McClung,"838,585"
79,Rudy Gobert,"833,168"
80,P.J. Washington,"814,229"
81,Marcus Smart,"776,213"
82,Paolo Banchero,"755,179"
83,Hassan Whiteside,"752,805"
84,Juancho Hernangomez,"751,662"
85,Kentavious Caldwell-Pope,"728,664"
86,Cole Anthony,"722,798"
87,Rudy Gay,"721,261"
88,Fred VanVleet,"713,350"
89,Mohamed Bamba,"708,759"
90,Michael Porter Jr.,"700,438"
91,Miles Bridges,"691,740"
92,Pascal Siakam,"679,762"
93,Al Horford,"664,931"
94,Josh Hart,"661,511"
95,Chet Holmgren,"648,134"
96,Ricky Rubio,"634,870"
97,Bogdan Bogdanovic,"617,368"
98,James Wiseman,"617,025"
99,Patrick Beverley,"613,721"
100,Udonis Haslem,"603,925"
101,Patty Mills,"587,667"
102,Scottie Barnes,"583,341"
103,Cade Cunningham,"582,990"
104,Mike Conley,"569,033"
105,Montrezl Harrell,"556,617"
106,Kevin Porter Jr.,"543,810"
107,Justise Winslow,"542,966"
108,Cam Reddish,"541,920"
109,Jalen Suggs,"540,646"
110,Jrue Holiday,"534,603"
111,Steven Adams,"529,422"
112,Buddy Hield,"527,514"
113,Tobias Harris,"527,473"
114,R.J. Hampton,"524,230"
115,Willie Cauley-Stein,"519,715"
116,Edmond Sumner,"517,843"
117,Rui Hachimura,"505,564"
118,Deandre Ayton,"502,259"
119,Tyrese Maxey,"493,493"
120,Tim Hardaway Jr.,"491,912"
121,Goran Dragic,"484,843"
122,Marc Gasol,"481,047"
123,Scotty Pippen Jr.,"473,099"
124,Jonathan Kuminga,"469,744"
125,Darius Garland,"455,978"
126,Furkan Korkmaz,"454,452"
127,Larry Nance Jr.,"449,682"
128,B.J. Boston Jr.,"441,226"
129,Danilo Gallinari,"440,590"
130,Derrick Jones,"423,686"
131,Coby White,"422,979"
132,Clint Capela,"422,577"
133,Jusuf Nurkic,"418,484"
134,Josh Giddey,"412,171"
135,Willy Hernangomez,"405,519"
136,Khris Middleton,"403,095"
137,Tyus Jones,"400,575"
138,Matisse Thybulle,"396,512"
139,Terrence Ross,"389,540"
140,Grayson Allen,"382,337"
141,Jaren Jackson Jr.,"375,052"
142,Talen Horton-Tucker,"373,947"
143,Kevon Looney,"372,150"
144,Ben McLemore,"365,419"
145,Hamidou Diallo,"360,185"
146,Jaden Hardy,"346,182"
147,Chris Duarte,"344,526"
148,Trey Burke,"343,790"
149,Michael Carter-Williams,"340,960"
150,Marcus Morris,"332,899"
151,Norman Powell,"318,494"
152,Tre Jones,"312,333"
153,Lauri Markkanen,"301,502"
154,Spencer Dinwiddie,"300,510"
155,Obi Toppin,"295,252"
156,Jonathan Isaac,"293,504"
157,Jaxson Hayes,"287,714"
158,Austin Reaves,"287,465"
159,Gary Trent Jr.,"280,925"
160,Bobby Portis,"280,104"
161,Nicolas Batum,"273,774"
162,Lonnie Walker,"272,908"
163,Josh Richardson,"272,521"
164,Kendrick Nunn,"271,058"
165,Justin Holiday,"270,278"
166,Jonas Valanciunas,"264,854"
167,Nerlens Noel,"264,691"
168,Jarrett Allen,"264,596"
169,Caris LeVert,"260,273"
170,Domantas Sabonis,"260,185"
171,Carsen Edwards,"256,866"
172,Devonte' Graham,"255,877"
173,Eric Gordon,"255,325"
174,Robert Covington,"254,913"
175,Doug McDermott,"254,624"
176,Grant Williams,"252,949"
177,Alperen Sengun,"251,694"
178,Myles Turner,"248,952"
179,Josh Jackson,"247,448"
180,Payton Pritchard,"246,733"
181,Frank Ntilikina,"240,724"
182,Robert Williams,"238,828"
183,Bones Hyland,"238,540"
184,Kent Bazemore,"236,808"
185,Ayo Dosunmu,"232,362"
186,Joe Ingles,"231,832"
187,Mikal Bridges,"229,052"
188,Anfernee Simons,"225,969"
189,Immanuel Quickley,"225,202"
190,Kevin Knox,"225,056"
191,Evan Mobley,"224,364"
192,Jose Alvarado,"222,526"
193,Cameron Johnson,"222,389"
194,Killian Hayes,"220,026"
195,Jaden Ivey,"219,130"
196,Tyrese Haliburton,"218,854"
197,Wesley Matthews,"217,999"
198,Deni Avdija,"215,996"
199,Usman Garuba,"215,996"
200,OG Anunoby,"215,220"
201,John Collins,"212,167"
202,Taurean Prince,"211,558"
203,K.J. Martin,"209,992"
204,Luke Kennard,"208,307"
205,Christian Wood,"204,560"
206,Moses Moody,"198,425"
207,Rodney Hood,"197,568"
208,Jerami Grant,"197,298"
209,Jalen Brunson,"195,462"
210,Reggie Jackson,"194,153"
211,Reggie Bullock,"191,892"
212,Nassir Little,"191,602"
213,Davion Mitchell,"191,053"
214,Gorgui Dieng,"189,309"
215,Pat Connaughton,"187,217"
216,Desmond Bane,"184,568"
217,Quentin Grimes,"184,446"
218,Onyeka Okongwu,"184,079"
219,Precious Achiuwa,"180,951"
220,Frank Kaminsky,"179,936"
221,Cory Joseph,"179,278"
222,Sam Dekker,"179,218"
223,Jaden Springer,"177,174"
224,Luguentz Dort,"176,282"
225,MarJon Beauchamp,"175,079"
226,Daniel Theis,"174,279"
227,Isaac Okoro,"174,197"
228,Kelly Olynyk,"173,583"
229,Moe Wagner,"170,899"
230,Tre Mann,"170,483"
231,Ziaire Williams,"161,990"
232,Ivica Zubac,"161,717"
233,Derrick White,"161,485"
234,Romeo Langford,"160,850"
235,Trey Lyles,"160,619"
236,Wendell Carter Jr.,"159,215"
237,Robin Lopez,"159,190"
238,James Harden,"158,383"
239,Josh Green,"158,132"
240,Nemanja Bjelica,"157,359"
241,Gary Harris,"157,061"
242,Malcolm Brogdon,"156,289"
243,Shaedon Sharpe,"154,712"
244,Bismack Biyombo,"153,609"
245,Eric Paschall,"150,897"
246,Keldon Johnson,"148,480"
247,Dalen Terry,"148,437"
248,Kyle Anderson,"148,119"
249,Monte Morris,"147,913"
250,Naz Reid,"144,861"
251,Mitchell Robinson,"144,475"
252,Scottie Lewis,"143,763"
253,Dillon Brooks,"142,307"
254,Theo Pinson,"141,586"
255,Royce O'Neale,"139,907"
256,Jabari Smith II,"138,231"
257,Ochai Agbaji,"136,194"
258,Neemias Queta,"135,695"
259,Vernon Carey Jr.,"133,321"
260,Isaiah Todd,"133,028"
261,Jalen Johnson,"132,503"
262,Chandler Hutchison,"132,399"
263,Jeremy Sochan,"130,768"
264,Jalen Duren,"130,745"
265,Marquese Chriss,"130,115"
266,Nickeil Alexander-Walker,"130,022"
267,Bennedict Mathurin,"128,750"
268,James Bouknight,"127,976"
269,Raulzinho Neto,"127,224"
270,Stanley Johnson,"126,437"
271,Cam Thomas,"125,928"
272,Patrick Williams,"125,205"
273,T.J. McConnell,"123,760"
274,Nikola Jovic,"123,637"
275,Delon Wright,"123,385"
276,Nik Stauskas,"122,634"
277,Isaiah Stewart II,"120,663"
278,Bojan Bogdanovic,"120,483"
279,Luka Garza,"120,233"
280,Jarred Vanderbilt,"120,002"
281,Svi Mykhailiuk,"119,732"
282,Nicolas Claxton,"119,566"
283,Isaiah Jackson,"116,552"
284,Maxi Kleber,"116,057"
285,D.J. Wilson,"112,406"
286,Darius Bazley,"112,067"
287,Landry Shamet,"110,823"
288,Semi Ojeleye,"108,060"
289,Kawhi Leonard,"107,987"
290,Jeremy Lamb,"107,502"
291,Wayne Ellington,"105,032"
292,Franz Wagner,"104,963"
293,Brandon Clarke,"104,929"
294,A.J. Griffin Jr.,"104,052"
295,T.J. Warren,"103,801"
296,Kennedy Chandler,"103,766"
297,Frank Jackson,"102,891"
298,Jarrett Culver,"102,328"
299,Dario Saric,"102,153"
300,Georges Niang,"102,008"
301,Tomas Satoransky,"101,770"
302,Tony Bradley,"101,597"
303,Torrey Craig,"101,248"
304,Christian Braun,"100,224"
305,Kris Dunn,"99,889"
306,Lester Quinones,"99,648"
307,Sekou Doumbouya,"99,602"
308,Jevon Carter,"99,178"
309,Dwight Powell,"97,842"
310,Kai Jones,"96,574"
311,Troy Brown Jr.,"96,081"
312,De'Andre Hunter,"95,183"
313,Yogi Ferrell,"94,957"
314,Zach Collins,"94,769"
315,Thomas Bryant,"93,721"
316,Bruce Brown Jr.,"93,481"
317,Wendell Moore Jr.,"90,976"
318,Maurice Harkless,"90,693"
319,Nick Richards,"90,365"
320,TyTy Washington Jr.,"89,699"
321,Leandro Bolmaro,"89,503"
322,Jordan Nwora,"89,384"
323,Davis Bertans,"87,884"
324,Danuel House,"86,196"
325,Damian Jones,"86,081"
326,Dyson Daniels,"84,954"
327,Derrick Favors,"84,328"
328,Al-Farouq Aminu,"83,559"
329,Caleb Martin,"83,082"
330,Moses Brown,"82,419"
331,Brook Lopez,"82,123"
332,Max Christie,"80,572"
333,Chris Chiozza,"79,650"
334,Aaron Nesmith,"79,481"
335,Omer Yurtseven,"78,196"
336,Mark Williams,"75,104"
337,Bruno Fernando,"74,559"
338,Derrick Rose,"74,342"
339,Herb Jones,"74,194"
340,Jakob Poeltl,"73,386"
341,Jason Preston,"72,823"
342,Aaron Holiday,"72,402"
343,De'Anthony Melton,"72,094"
344,Corey Kispert,"71,864"
345,Devon Dotson,"71,343"
346,Miles McBride,"69,774"
347,Trendon Watford,"69,538"
348,DeAndre' Bembry,"69,416"
349,Daniel Gafford,"68,977"
350,Ignas Brazdeikis,"68,197"
351,Ty Jerome,"67,879"
352,Johnny Davis,"67,587"
353,Shake Milton,"67,560"
354,P.J. Dozier,"67,202"
355,Richaun Holmes,"66,194"
356,Dewayne Dedmon,"65,701"
357,Malachi Flynn,"64,965"
358,Collin Gillespie,"64,040"
359,Daishen Nix,"63,344"
360,Walker Kessler,"62,721"
361,Aleksej Pokusevski,"62,165"
362,Jahmi'us Ramsey,"62,159"
363,Terence Davis,"61,930"
364,Jericho Sims,"61,491"
365,Paul Reed Jr.,"61,360"
366,Patrick Baldwin Jr.,"59,895"
367,Garrett Temple,"59,787"
368,Theo Maledon,"59,744"
369,Joshua Primo,"59,618"
370,Xavier Tillman Sr.,"59,393"
371,Markus Howard,"59,226"
372,Jaylen Nowell,"58,834"
373,Keegan Murray,"58,808"
374,Devin Vassell,"58,749"
375,Saddiq Bey,"58,727"
376,Day'Ron Sharpe,"57,694"
377,Jared Butler,"57,321"
378,Sandro Mamukelashvili,"56,625"
379,Louis King,"56,149"
380,Keon Johnson,"55,540"
381,Chris Smith,"54,664"
382,Tari Eason,"53,098"
383,Javonte Smart,"52,659"
384,Alex Len,"51,579"
385,Jock Landale,"51,102"
386,Tony Snell,"51,020"
387,OShae Brissett,"50,715"
388,Jalen Smith,"50,640"
389,Isaiah Livers,"50,554"
390,Udoka Azubuike,"50,460"
391,Cody Martin,"50,382"
392,Lamar Stevens,"50,270"
393,JaMychal Green,"50,054"
394,Kira Lewis Jr.,"48,389"
395,Charles Bassey,"47,398"
396,David Duke,"46,839"
397,Jake Layman,"46,817"
398,Goga Bitadze,"46,505"
399,Isaiah Joe,"45,434"
400,Peyton Watson,"45,234"
401,Ish Smith,"44,955"
402,Matthew Hurt,"44,955"
403,Malaki Branham,"42,318"
404,Damyean Dotson,"41,546"
405,Anthony Tolliver,"41,419"
406,Duane Washington Jr.,"41,288"
407,Isaiah Mobley,"41,142"
408,Cody Zeller,"40,947"
409,Ousmane Dieng,"40,136"
410,Yves Pons,"40,008"
411,Bryce McGowens,"38,840"
412,Keita Bates-Diop,"38,831"
413,Chuma Okeke,"38,555"
414,Isaiah Roby,"37,643"
415,Jeremiah Robinson-Earl,"36,311"
416,KZ Okpala,"36,072"
417,Chimezie Metu,"34,351"
418,Zeke Nnaji,"34,101"
419,Luka Samanic,"32,271"
420,J.T. Thor,"32,191"
421,Tyrell Terry,"32,125"
422,Chaundee Brown Jr.,"31,295"
423,McKinley Wright,"30,592"
424,Aaron Wiggins,"30,114"
425,Jordan McLaughlin,"28,445"
426,Dylan Windler,"28,177"
427,Vlatko Cancar,"26,897"
428,Sam Hauser,"26,666"
429,Mfiondu Kabengele,"26,447"
430,David Johnson,"26,187"
431,Amir Coffey,"25,478"
432,Juwan Morgan,"25,189"
433,Jay Huff,"24,968"
434,Jalen McDaniels,"24,791"
435,Joel Ayayi,"24,698"
436,Killian Tillie,"24,450"
437,Elijah Hughes,"23,754"
438,David Roddy,"23,390"
439,Justin Champagnie,"22,907"
440,Justin Lewis,"22,855"
441,Aaron Henry,"22,516"
442,Santi Aldama,"22,505"
443,Sterling Brown,"22,384"
444,Kessler Edwards,"19,124"
445,Naji Marshall,"18,098"
446,Jake LaRavia,"17,989"
447,R.J. Nembhard,"17,956"
448,Sam Merrill,"15,598"
449,Kelan Martin,"15,580"
450,C.J. Elleby,"15,114"
451,Marko Simonovic,"13,982"
452,Alondes Williams,"13,224"
453,Xavier Sneed,"13,219"
454,Robert Woodard II,"13,123"
455,Keon Ellis,"12,498"
456,Nate Hinton,"11,667"
457,Julian Champagnie,"11,459"
458,Arnoldas Kulboka,"11,142"
459,Eugene Omoruyi,"10,702"
460,Terry Taylor,"8,325"
461,Javon Freeman-Liberty,"7,305"
462,Jordan Schakel,"4,951"
