Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary,Rating,Instagram Followers
PG,34,GSW,23,23,800,233,467,0.499,117,271,0.432,116,196,0.592,0.624,106,117,0.906,12,140,152,162,24,6,72,49,689,48070014,96,"47,496,236"
PG,32,LAC,20,0,442,90,207,0.435,18,66,0.273,72,141,0.511,0.478,58,87,0.667,6,46,52,113,18,5,47,34,256,47345760,78,"4,565,831"
PG,34,LAL,22,3,614,118,290,0.407,26,86,0.302,92,204,0.451,0.452,60,87,0.69,22,93,115,165,20,10,78,53,322,47063478,78,"21,075,492"
PF,38,LAL,17,17,602,171,367,0.466,41,124,0.331,130,243,0.535,0.522,56,78,0.718,27,127,154,109,20,11,58,32,439,44474988,96,"137,786,249"
SG,29,WAS,18,18,631,156,299,0.522,31,88,0.352,125,211,0.592,0.574,69,79,0.873,15,52,67,97,21,11,51,34,412,43279250,87,"1,389,651"
PG,32,POR,12,12,419,91,215,0.423,42,121,0.347,49,94,0.521,0.521,86,98,0.878,10,41,51,83,7,4,46,22,310,42492492,89,"9,629,954"
SF,31,LAC,6,4,140,26,60,0.433,2,18,0.111,24,42,0.571,0.45,12,15,0.8,5,21,26,19,3,1,6,10,66,42492492,94,"107,620"
PF,28,MIL,19,19,626,223,410,0.544,15,63,0.238,208,347,0.599,0.562,145,234,0.62,39,176,215,104,16,20,70,65,606,42492492,97,"13,822,617"
SF,32,LAC,17,17,577,140,303,0.462,47,125,0.376,93,178,0.522,0.54,70,82,0.854,9,90,99,76,25,7,60,44,397,42492492,88,"9,796,501"
SG,32,GSW,20,20,607,127,316,0.402,78,200,0.39,49,116,0.422,0.525,28,33,0.848,10,61,71,49,12,7,32,35,360,40600080,83,"13,988,490"
C,30,MIN,21,21,640,103,158,0.652,0,2,0.0,103,156,0.66,0.652,71,99,0.717,77,163,240,17,14,27,32,64,277,38172414,88,"834,320"
SF,31,MIL,2,2,52,7,22,0.318,3,11,0.273,4,11,0.364,0.386,5,6,0.833,0,3,3,12,1,0,2,6,22,37984276,86,"403,005"
C,29,LAL,21,21,700,217,368,0.59,9,27,0.333,208,341,0.61,0.602,130,158,0.823,69,190,259,54,27,48,40,57,573,37980720,90,"7,167,394"
SF,33,MIA,15,15,533,103,208,0.495,12,34,0.353,91,174,0.523,0.524,97,112,0.866,33,74,107,90,25,4,30,24,315,37653300,93,"7,702,760"
PF,30,PHI,22,22,751,143,299,0.478,49,118,0.415,94,181,0.519,0.56,37,44,0.841,19,120,139,59,29,10,29,47,372,37633050,82,"526,738"
SG,27,CHI,19,19,652,147,348,0.422,54,154,0.351,93,194,0.479,0.5,70,85,0.824,15,72,87,80,24,1,41,47,418,37096500,88,"2,533,332"
PG,24,ATL,22,22,781,194,476,0.408,48,162,0.296,146,314,0.465,0.458,171,190,0.9,17,47,64,212,16,3,76,30,607,37096500,90,"4,875,318"
PG,23,DAL,23,23,847,259,515,0.503,65,187,0.348,194,328,0.591,0.566,173,239,0.724,19,178,197,200,40,16,84,66,756,37096500,95,"7,468,806"
PG,30,BRK,17,17,627,155,328,0.473,44,136,0.324,111,192,0.578,0.54,61,68,0.897,11,63,74,74,16,16,39,50,415,36934550,89,"17,888,448"
PG,26,BRK,17,12,477,62,101,0.614,0,1,0.0,62,100,0.62,0.614,18,33,0.545,17,96,113,99,21,12,39,64,142,35448672,83,"6,741,233"
C,28,TOR,14,14,486,121,247,0.49,19,53,0.358,102,194,0.526,0.528,82,109,0.752,24,100,124,99,14,7,34,45,343,35448672,86,"680,211"
PF,27,MIN,21,21,709,153,303,0.505,38,117,0.325,115,186,0.618,0.568,92,104,0.885,35,137,172,111,16,14,65,82,436,33833400,89,"3,961,630"
SG,26,PHO,24,24,859,244,500,0.488,57,146,0.39,187,354,0.528,0.545,136,156,0.872,20,97,117,142,24,10,61,64,681,33833400,91,"5,477,269"
PF,27,WAS,23,23,747,169,361,0.468,48,135,0.356,121,226,0.535,0.535,116,146,0.795,51,152,203,58,19,35,42,74,502,33833400,85,"1,519,577"
PG,32,MIL,18,17,584,125,280,0.446,38,113,0.336,87,167,0.521,0.514,41,46,0.891,22,71,93,135,29,9,59,37,329,33665040,86,"536,128"
SF,27,GSW,22,22,722,163,319,0.511,67,149,0.45,96,170,0.565,0.616,27,43,0.628,34,79,113,48,30,17,30,64,420,33616770,84,"2,190,660"
C,28,PHI,16,16,565,166,323,0.514,15,54,0.278,151,269,0.561,0.537,163,194,0.84,26,127,153,79,18,28,66,53,510,33616770,96,"6,204,886"
SG,33,PHI,10,10,369,67,162,0.414,24,71,0.338,43,91,0.473,0.488,61,66,0.924,6,61,67,97,12,6,33,20,219,33000000,89,"158,133"
PG,25,DEN,20,20,597,132,305,0.433,38,105,0.362,94,200,0.47,0.495,50,64,0.781,10,63,73,99,19,5,40,29,352,31650600,84,"994,266"
SF,25,NOP,15,15,481,109,231,0.472,28,60,0.467,81,171,0.474,0.532,66,76,0.868,7,69,76,70,13,10,42,33,312,31650600,86,"2,216,103"
PG,26,MIN,23,23,724,127,291,0.436,44,138,0.319,83,153,0.542,0.512,46,59,0.78,15,62,77,154,30,13,63,47,344,31377750,82,"3,630,960"
SG,26,CLE,23,23,843,233,470,0.496,89,210,0.424,144,260,0.554,0.59,113,127,0.89,20,71,91,112,34,10,70,55,668,30913750,88,"3,622,563"
SG,24,OKC,22,22,786,235,464,0.506,22,67,0.328,213,397,0.537,0.53,197,212,0.929,21,84,105,132,39,25,73,54,689,30913750,87,"1,236,014"
C,24,PHO,22,22,639,163,262,0.622,4,13,0.308,159,249,0.639,0.63,46,63,0.73,63,148,211,47,11,19,42,64,376,30913750,85,"501,109"
PF,24,BOS,24,24,887,242,504,0.48,82,225,0.364,160,279,0.573,0.562,172,198,0.869,27,172,199,101,24,25,66,54,738,30351780,93,"5,357,681"
PG,25,SAC,21,21,665,180,349,0.516,40,106,0.377,140,243,0.576,0.573,86,105,0.819,10,97,107,122,23,10,55,52,486,30351780,84,"1,285,381"
C,25,MIA,23,23,807,185,351,0.527,1,9,0.111,184,342,0.538,0.528,106,124,0.855,52,160,212,75,22,18,72,76,477,30351780,87,"843,168"
SF,32,CHO,11,11,355,65,146,0.445,16,42,0.381,49,104,0.471,0.5,33,43,0.767,7,40,47,48,7,3,28,10,179,30075000,80,"1,198,988"
PF,34,CLE,19,1,385,59,141,0.418,39,101,0.386,20,40,0.5,0.557,33,38,0.868,13,122,135,43,3,3,23,29,190,28942830,80,"3,354,436"
PG,37,PHO,10,10,302,28,76,0.368,9,33,0.273,19,43,0.442,0.428,30,34,0.882,5,40,45,94,17,2,15,23,95,28400000,90,"11,559,738"
PG,36,MIA,25,25,907,107,270,0.396,58,167,0.347,49,103,0.476,0.504,87,102,0.853,20,104,124,151,30,15,63,72,359,28333334,82,"1,511,458"
PG,26,NYK,24,24,775,181,375,0.483,34,100,0.34,147,275,0.535,0.528,109,125,0.872,11,71,82,150,24,5,42,59,505,27733332,83,"197,156"
SF,33,CHI,23,23,801,208,414,0.502,10,32,0.313,198,382,0.518,0.514,160,181,0.884,11,90,101,107,21,9,45,63,586,27300000,89,"3,290,663"
C,36,BOS,20,20,632,79,147,0.537,41,88,0.466,38,59,0.644,0.677,5,8,0.625,20,105,125,55,9,20,15,40,204,26500000,82,"664,140"
PF,32,GSW,23,23,714,80,143,0.559,11,35,0.314,69,108,0.639,0.598,26,36,0.722,16,129,145,162,21,19,55,74,197,25806468,83,"4,050,469"
PF,28,NYK,24,24,796,175,380,0.461,51,157,0.325,124,223,0.556,0.528,106,136,0.779,51,152,203,83,17,4,66,77,507,23760000,82,"902,734"
PF,25,ATL,22,22,693,103,213,0.484,16,73,0.219,87,140,0.621,0.521,49,58,0.845,26,138,164,28,20,31,30,71,271,23500000,83,"212,195"
PG,35,UTA,17,17,497,58,148,0.392,32,83,0.386,26,65,0.4,0.5,26,34,0.765,7,34,41,134,20,5,25,35,174,22680000,82,"567,911"
PG,30,BOS,20,0,465,96,197,0.487,38,77,0.494,58,120,0.483,0.584,48,56,0.857,20,63,83,74,11,4,38,30,278,22600000,82,"156,770"
SG,23,POR,22,22,817,187,422,0.443,93,234,0.397,94,188,0.5,0.553,76,85,0.894,7,60,67,100,22,6,48,49,543,22321429,80,"227,640"
PG,28,TOR,18,18,659,95,266,0.357,50,147,0.34,45,119,0.378,0.451,54,64,0.844,9,55,64,115,30,9,33,50,294,21250000,84,"712,467"
SG,30,IND,24,24,759,142,343,0.414,83,227,0.366,59,116,0.509,0.535,38,45,0.844,25,92,117,64,24,9,51,51,405,21177750,78,"527,729"
PF,28,POR,23,23,835,172,362,0.475,65,141,0.461,107,221,0.484,0.565,119,153,0.778,20,75,95,64,19,20,44,52,528,20955000,82,"201,350"
PG,29,DAL,24,24,757,139,304,0.457,63,154,0.409,76,150,0.507,0.561,51,61,0.836,8,66,74,120,24,6,37,53,392,20171427,80,"300,367"
SF,26,PHO,24,24,876,147,285,0.516,42,94,0.447,105,191,0.55,0.589,48,54,0.889,27,98,125,80,26,23,27,53,384,20100000,83,"230,887"
C,24,CLE,18,18,582,105,174,0.603,0,2,0.0,105,172,0.61,0.603,43,56,0.768,53,141,194,23,12,22,31,40,253,20000000,85,"267,655"
PF,34,LAC,25,1,467,39,94,0.415,27,71,0.38,12,23,0.522,0.559,11,19,0.579,17,83,100,32,14,19,18,50,116,19700319,76,"274,090"
PF,27,DEN,21,21,616,134,217,0.618,23,58,0.397,111,159,0.698,0.671,58,91,0.637,51,90,141,48,14,17,30,38,349,19690909,79,"1,118,710"
SG,34,HOU,20,20,601,82,188,0.436,38,108,0.352,44,80,0.55,0.537,44,51,0.863,6,33,39,51,14,7,38,15,246,19568360,75,"254,588"
PF,33,DET,25,25,789,177,341,0.519,64,145,0.441,113,196,0.577,0.613,107,122,0.877,12,79,91,64,15,0,58,44,525,19550000,80,"120,775"
SG,28,CLE,21,14,642,79,212,0.373,31,85,0.365,48,127,0.378,0.446,42,53,0.792,19,72,91,94,16,2,39,49,231,18796296,78,"260,992"
PF,26,SAC,22,22,705,133,222,0.599,10,27,0.37,123,195,0.631,0.622,92,122,0.754,48,193,241,144,16,11,55,84,368,18500000,86,"261,614"
PF,30,SAC,22,22,674,90,184,0.489,22,73,0.301,68,111,0.613,0.549,89,106,0.84,23,97,120,41,19,3,27,31,291,18352273,80,"990,801"
C,26,IND,19,18,519,111,204,0.544,28,71,0.394,83,133,0.624,0.613,66,81,0.815,27,119,146,27,10,43,33,60,316,18000000,82,"250,052"
C,29,MEM,22,22,596,77,129,0.597,0,1,0.0,77,128,0.602,0.597,19,62,0.306,110,129,239,50,18,22,48,55,173,17926829,82,"532,564"
SG,24,TOR,21,16,646,121,286,0.423,47,140,0.336,74,146,0.507,0.505,61,79,0.772,13,29,42,32,34,3,23,29,350,17505000,79,"280,166"
SF,25,TOR,24,24,876,174,361,0.482,38,111,0.342,136,250,0.544,0.535,72,87,0.828,35,103,138,52,56,21,63,72,458,17357143,81,"215,917"
PG,28,BOS,22,22,729,96,212,0.453,41,115,0.357,55,97,0.567,0.55,33,43,0.767,9,60,69,168,25,7,49,66,266,17207142,82,"778,701"
SG,28,BOS,25,20,655,90,192,0.469,46,106,0.434,44,86,0.512,0.589,43,48,0.896,14,61,75,83,21,17,24,64,269,16892857,78,"162,444"
SG,29,LAC,22,5,556,113,246,0.459,36,95,0.379,77,151,0.51,0.533,64,82,0.78,9,55,64,33,18,7,39,40,326,16758621,80,"317,756"
SG,26,ATL,24,24,886,205,454,0.452,53,145,0.366,152,309,0.492,0.51,54,65,0.831,19,117,136,156,44,11,64,42,517,16571120,86,"1,140,808"
SG,24,ORL,4,4,97,19,43,0.442,2,6,0.333,17,37,0.459,0.465,5,6,0.833,5,8,13,16,5,1,8,6,45,16500000,77,"7,016,831"
SF,25,UTA,26,26,881,207,392,0.528,69,167,0.413,138,225,0.613,0.616,95,114,0.833,57,165,222,58,15,18,56,53,578,16475454,78,"315,920"
PF,33,LAC,23,23,690,122,274,0.445,46,126,0.365,76,148,0.514,0.529,23,31,0.742,11,101,112,45,18,8,21,53,313,16372093,77,"332,415"
PF,30,DAL,9,0,64,9,24,0.375,8,19,0.421,1,5,0.2,0.542,3,4,0.75,1,4,5,4,0,0,2,13,29,16000000,73,"87,925"
C,28,POR,21,21,623,115,225,0.511,15,35,0.429,100,190,0.526,0.544,59,84,0.702,59,151,210,59,15,18,51,69,304,15625000,82,"418,033"
SG,23,OKC,24,24,734,119,294,0.405,41,128,0.32,78,166,0.47,0.474,61,79,0.772,38,73,111,56,28,9,35,79,340,15277778,77,"177,531"
PG,26,MEM,24,4,573,98,218,0.45,35,93,0.376,63,125,0.504,0.53,19,27,0.704,9,42,51,108,15,2,25,12,250,15000000,77,"400,808"
C,30,NOP,23,23,530,117,211,0.555,15,36,0.417,102,175,0.583,0.59,59,71,0.831,60,147,207,46,7,8,44,57,308,14700000,83,"264,808"
PG,34,NYK,21,0,285,54,135,0.4,17,49,0.347,37,86,0.43,0.463,10,10,1.0,8,29,37,42,7,5,17,14,135,14520730,81,"74,175"
PF,27,DAL,21,0,548,131,233,0.562,28,69,0.406,103,164,0.628,0.622,61,89,0.685,25,136,161,29,10,12,51,60,351,14317459,84,"205,669"
SG,29,DEN,23,23,716,90,194,0.464,48,105,0.457,42,89,0.472,0.588,25,32,0.781,12,54,66,48,28,10,30,45,253,14004703,76,"725,910"
C,34,MIL,22,22,685,123,247,0.498,53,127,0.417,70,120,0.583,0.605,37,45,0.822,35,94,129,25,13,66,29,49,336,13906976,80,"82,669"
SF,31,SAS,20,0,414,78,165,0.473,39,96,0.406,39,69,0.565,0.591,10,16,0.625,5,32,37,29,2,3,20,33,205,13750000,74,"254,296"
SG,26,LAC,15,7,318,44,85,0.518,25,51,0.49,19,34,0.559,0.665,4,4,1.0,4,39,43,10,8,0,15,20,117,13745455,76,"207,979"
PF,22,NOP,18,18,576,163,276,0.591,3,11,0.273,160,265,0.604,0.596,96,132,0.727,38,89,127,77,23,11,49,41,425,13534817,87,"5,282,205"
SG,30,UTA,26,26,841,185,428,0.432,70,200,0.35,115,228,0.504,0.514,72,87,0.828,32,70,102,124,9,9,69,54,512,13340000,77,"1,838,290"
PF,27,WAS,23,23,793,180,392,0.459,51,167,0.305,129,225,0.573,0.524,62,84,0.738,23,153,176,82,9,11,58,63,473,13000000,81,"4,926,000"
SG,28,ORL,6,3,155,23,48,0.479,10,23,0.435,13,25,0.52,0.583,6,6,1.0,5,11,16,12,4,2,9,13,62,13000000,74,"156,796"
PG,34,LAL,18,18,474,23,85,0.271,13,59,0.22,10,26,0.385,0.347,17,21,0.81,12,56,68,45,15,9,15,52,76,13000000,78,"614,344"
SG,27,POR,22,22,782,78,161,0.484,14,43,0.326,64,118,0.542,0.528,41,56,0.732,42,144,186,93,32,3,38,61,211,12960000,80,"661,345"
PF,31,UTA,26,26,741,117,209,0.56,41,88,0.466,76,121,0.628,0.658,64,80,0.8,34,96,130,83,33,19,58,107,339,12804878,76,"173,692"
PF,32,LAC,15,0,234,26,68,0.382,15,44,0.341,11,24,0.458,0.493,14,16,0.875,5,53,58,18,6,10,12,30,81,12307692,76,"253,957"
SG,29,SAS,17,2,388,59,146,0.404,29,80,0.363,30,66,0.455,0.503,27,32,0.844,7,31,38,51,12,2,29,31,174,12196094,76,"271,842"
PG,23,MEM,20,20,665,198,427,0.464,37,100,0.37,161,327,0.492,0.507,136,183,0.743,26,100,126,149,21,5,76,38,569,12119440,93,"8,147,174"
SG,31,ORL,22,8,538,76,178,0.427,37,94,0.394,39,84,0.464,0.531,9,13,0.692,7,42,49,29,16,4,27,33,198,11500000,75,"389,056"
SG,27,MEM,21,21,658,138,350,0.394,46,138,0.333,92,212,0.434,0.46,45,60,0.75,17,63,80,61,20,2,36,67,367,11400000,80,"142,673"
PF,29,SAC,12,0,127,16,24,0.667,1,2,0.5,15,22,0.682,0.688,4,6,0.667,8,17,25,0,2,1,5,19,37,11215260,75,"66,154"
PG,32,LAC,25,25,732,115,273,0.421,39,112,0.348,76,161,0.472,0.493,38,43,0.884,10,55,65,108,16,3,58,47,307,11215260,77,"195,347"
C,31,DAL,21,17,363,47,67,0.701,0,1,0.0,47,66,0.712,0.701,29,43,0.674,37,37,74,11,12,9,19,53,123,11080125,76,"98,151"
PF,20,ORL,18,18,619,132,294,0.449,16,65,0.246,116,229,0.507,0.476,111,152,0.73,23,99,122,68,14,11,53,39,391,11055120,78,"778,148"
PF,27,MIL,23,7,618,134,275,0.487,28,87,0.322,106,188,0.564,0.538,23,30,0.767,56,183,239,54,8,8,27,44,319,10843350,80,"280,803"
C,34,DEN,19,3,298,43,57,0.754,1,1,1.0,42,56,0.75,0.763,14,30,0.467,31,81,112,19,3,12,25,31,101,10733758,72,"1,902,459"
SG,21,MIN,23,23,840,192,416,0.462,59,171,0.345,133,245,0.543,0.532,86,113,0.761,13,116,129,88,38,9,73,64,529,10733400,86,"1,264,395"
PG,21,DET,12,12,400,93,224,0.415,17,61,0.279,76,163,0.466,0.453,36,43,0.837,12,62,74,72,10,7,39,34,239,10552800,84,"587,324"
SG,22,UTA,25,0,421,67,172,0.39,18,71,0.254,49,101,0.485,0.442,28,38,0.737,11,55,66,62,21,9,34,38,180,10260000,74,"372,693"
C,25,LAC,25,25,761,106,169,0.627,0,1,0.0,106,168,0.631,0.627,55,81,0.679,87,200,287,31,11,43,55,75,267,10123457,77,"163,750"
SF,31,DAL,23,18,618,35,118,0.297,27,98,0.276,8,20,0.4,0.411,10,15,0.667,10,58,68,21,19,2,9,54,107,10012800,75,"191,785"
SF,25,ATL,21,21,648,113,253,0.447,28,79,0.354,85,174,0.489,0.502,59,73,0.808,14,70,84,23,7,3,28,63,313,9835881,76,"95,453"
SG,25,PHO,15,0,249,35,86,0.407,24,62,0.387,11,24,0.458,0.547,17,19,0.895,4,10,14,18,7,2,16,22,111,9500000,73,"110,666"
SG,20,HOU,24,24,832,176,424,0.415,57,179,0.318,119,245,0.486,0.482,109,137,0.796,15,80,95,95,20,5,80,42,518,9441840,82,"2,365,200"
PF,28,PHO,11,2,134,16,44,0.364,7,20,0.35,9,24,0.375,0.443,5,7,0.714,15,24,39,12,3,2,6,21,44,9240000,76,"102,009"
SF,29,BRK,25,25,897,84,220,0.382,58,142,0.408,26,78,0.333,0.514,16,23,0.696,20,112,132,117,29,17,44,83,242,9200000,74,"142,667"
PG,27,WAS,21,21,571,75,168,0.446,25,66,0.379,50,102,0.49,0.521,17,23,0.739,9,68,77,106,16,4,18,27,192,9125000,79,"147,654"
PG,28,CHI,23,7,593,40,99,0.404,20,56,0.357,20,43,0.465,0.505,24,31,0.774,9,54,63,85,33,18,32,53,124,9030000,77,"1,618,266"
C,31,DAL,20,0,505,45,93,0.484,20,57,0.351,25,36,0.694,0.591,11,14,0.786,16,53,69,20,6,18,12,44,121,9000000,75,"116,207"
PG,23,CLE,19,19,683,143,329,0.435,52,131,0.397,91,198,0.46,0.514,83,96,0.865,6,36,42,150,23,4,60,38,421,8920794,87,"470,340"
PF,29,MIN,18,3,398,42,85,0.494,9,21,0.429,33,64,0.516,0.547,23,28,0.821,13,60,73,52,18,17,25,24,116,8780488,76,"148,106"
SG,30,MIA,1,0,19,3,9,0.333,1,4,0.25,2,5,0.4,0.389,2,4,0.5,0,2,2,2,0,0,0,1,9,8750000,78,"1,464,198"
PG,21,CHO,3,3,98,22,53,0.415,10,32,0.313,12,21,0.571,0.509,4,5,0.8,0,11,11,21,3,1,11,8,58,8623920,87,"9,392,353"
SG,27,MIL,20,18,540,67,147,0.456,40,92,0.435,27,55,0.491,0.592,43,47,0.915,17,53,70,51,16,5,25,31,217,8500000,75,"382,143"
SG,32,BRK,15,0,336,49,111,0.441,26,63,0.413,23,48,0.479,0.559,10,11,0.909,4,30,34,34,9,4,20,29,134,8496653,78,"2,130,171"
PF,21,CLE,25,25,850,152,270,0.563,5,23,0.217,147,247,0.595,0.572,58,86,0.674,71,162,233,60,22,37,51,70,367,8478720,84,"226,202"
PG,24,PHI,22,15,635,91,225,0.404,44,123,0.358,47,102,0.461,0.502,14,21,0.667,26,72,98,74,45,10,40,48,240,8250000,77,"73,138"
PF,32,GSW,22,0,332,51,101,0.505,6,34,0.176,45,67,0.672,0.535,14,18,0.778,31,54,85,15,13,8,22,45,122,8200000,76,"50,544"
SF,22,SAC,20,18,567,82,198,0.414,38,114,0.333,44,84,0.524,0.51,23,27,0.852,18,64,82,18,15,12,31,41,225,8008440,76,"60,149"
PG,30,WAS,4,0,91,10,24,0.417,3,12,0.25,7,12,0.583,0.479,3,5,0.6,4,6,10,13,11,4,4,5,26,7804878,75,"123,098"
PF,21,CHI,23,22,596,77,171,0.45,29,69,0.42,48,102,0.471,0.535,27,29,0.931,26,66,92,18,16,23,36,48,210,7775400,75,"124,939"
PF,21,TOR,21,20,695,124,274,0.453,26,81,0.321,98,193,0.508,0.5,30,45,0.667,37,106,143,104,20,19,53,34,304,7644600,84,"585,161"
C,33,MIA,20,0,244,52,96,0.542,9,26,0.346,43,70,0.614,0.589,25,33,0.758,19,53,72,12,4,8,13,39,138,7448674,75,"66,551"
SF,27,CLE,25,0,580,82,184,0.446,34,101,0.337,48,83,0.578,0.538,25,35,0.714,7,66,73,42,9,3,24,46,223,7426088,75,"1,484,010"
PG,22,CHI,15,0,278,41,100,0.41,21,64,0.328,20,36,0.556,0.515,9,13,0.692,2,28,30,24,9,2,13,24,112,7413955,76,"420,905"
PF,25,SAS,14,3,265,45,95,0.474,10,35,0.286,35,60,0.583,0.526,11,15,0.733,24,51,75,38,9,14,28,49,111,7350000,74,"94,727"
